ur_group,file_a,file_b,length,dt_a,dt_b,dominant_freq_rel_error_disp,disp_std_rel_error,disp_psd_rel_error,force_psd_rel_error,dt_match
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg009.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.00700755043331701,0.9796239429574665,0.8095917176192108,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg012.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.07887834079653888,0.4607859999574747,0.4322475678388577,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg013.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.05023262457325802,0.3888127670087935,0.3844348407094394,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg014.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.22751454437366872,1.3063130133149148,1.32229474940116,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg015.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.1697587473696608,0.5851267542411223,0.5462252170340616,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg016.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.48660159682975906,4.565650388939572,5.224137256351528,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg017.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.3817300021384969,2.037585400141419,2.1272977956234276,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg018.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.2221436275974124,0.8729069081852396,0.8766309176924925,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg019.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.0018835373353311652,0.6054189470100719,0.6721961577426736,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg020.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.5570583426072002,8.572374036319797,10.912936861244017,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg022.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.40346644849415947,2.206433769062952,2.6679168231559025,1.0
