run_dir,run_name,method,held_out_ur,eval_ur,metric,value
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,11.0,Force mapping NRMSE,0.004853838
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,12.0,Disp rollout NRMSE,0.06678221
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,12.0,Force rollout NRMSE,0.06966516
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,12.0,Force mapping NRMSE,0.00387705
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,1.0,Disp rollout NRMSE,1.809668
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,1.0,Force rollout NRMSE,1.790852
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,1.0,Force mapping NRMSE,0.1912719
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,2.0,Disp rollout NRMSE,0.1421684
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,2.0,Force rollout NRMSE,0.1455305
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,2.0,Force mapping NRMSE,0.01115536
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,3.0,Disp rollout NRMSE,0.01880255
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,3.0,Force rollout NRMSE,0.01986178
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,3.0,Force mapping NRMSE,0.004180425
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,4.0,Disp rollout NRMSE,0.05164796
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,4.0,Force rollout NRMSE,0.05245089
